| time |reset|RAM16K[0]|RAM16K[1]|RAM16K[2]|
| 0    |  0  |       3 |       5 |       0 |
| 1    |  0  |       3 |       5 |       0 |
| 2    |  0  |       3 |       5 |       0 |
| 3    |  0  |       3 |       5 |       0 |
| 4    |  0  |       3 |       5 |       0 |
| 5    |  0  |       3 |       5 |       0 |
| 6    |  0  |       3 |       5 |       0 |
| 7    |  0  |       3 |       5 |       0 |
| 8    |  0  |       3 |       5 |       0 |
| 9    |  0  |       3 |       5 |       0 |
| 10   |  0  |       3 |       5 |       0 |
| 11   |  0  |       3 |       5 |       0 |
| 12   |  0  |       3 |       5 |       0 |
